"LOCATION","Country","SUBJECT","Subject","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","YPFETTL1_ST","Population mid-year estimates Females","A","Annual","1995","1995","PER","Persons","3","thousands",,,9044,,
"AUS","Australia","YPFETTL1_ST","Population mid-year estimates Females","A","Annual","1996","1996","PER","Persons","3","thousands",,,9159,,
"AUS","Australia","YPFETTL1_ST","Population mid-year estimates Females","A","Annual","1997","1997","PER","Persons","3","thousands",,,9267,,
"AUS","Australia","YPFETTL1_ST","Population mid-year estimates Females","A","Annual","1998","1998","PER","Persons","3","thousands",,,9364,,
"AUS","Australia","YPFETTL1_ST","Population mid-year estimates Females","A","Annual","1999","1999","PER","Persons","3","thousands",,,9472,,
"AUS","Australia","YPFETTL1_ST","Population mid-year estimates Females","A","Annual","2000","2000","PER","Persons","3","thousands",,,9585,,
"AUS","Australia","YPFETTL1_ST","Population mid-year estimates Females","A","Annual","2001","2001","PER","Persons","3","thousands",,,9713,,
"AUS","Australia","YPFETTL1_ST","Population mid-year estimates Females","A","Annual","2002","2002","PER","Persons","3","thousands",,,9820,,
"AUS","Australia","YPFETTL1_ST","Population mid-year estimates Females","A","Annual","2003","2003","PER","Persons","3","thousands",,,9933,,
"AUS","Australia","YPFETTL1_ST","Population mid-year estimates Females","A","Annual","2004","2004","PER","Persons","3","thousands",,,10037,,
"AUS","Australia","YPFETTL1_ST","Population mid-year estimates Females","A","Annual","2005","2005","PER","Persons","3","thousands",,,10157,,
"AUS","Australia","YPFETTL1_ST","Population mid-year estimates Females","A","Annual","2006","2006","PER","Persons","3","thousands",,,10292,,
"AUS","Australia","YPFETTL1_ST","Population mid-year estimates Females","A","Annual","2007","2007","PER","Persons","3","thousands",,,10474,,
"AUS","Australia","YPFETTL1_ST","Population mid-year estimates Females","A","Annual","2008","2008","PER","Persons","3","thousands",,,10677,,
"AUS","Australia","YPFETTL1_ST","Population mid-year estimates Females","A","Annual","2009","2009","PER","Persons","3","thousands",,,10891,,
"AUS","Australia","YPFETTL1_ST","Population mid-year estimates Females","A","Annual","2010","2010","PER","Persons","3","thousands",,,11064,,
"AUS","Australia","YPFETTL1_ST","Population mid-year estimates Females","A","Annual","2011","2011","PER","Persons","3","thousands",,,11222,,
"AUS","Australia","YPFETTL1_ST","Population mid-year estimates Females","A","Annual","2012","2012","PER","Persons","3","thousands",,,11415,,
"AUS","Australia","YPFETTL1_ST","Population mid-year estimates Females","A","Annual","2013","2013","PER","Persons","3","thousands",,,11614,,
"AUS","Australia","YPFETTL1_ST","Population mid-year estimates Females","A","Annual","2014","2014","PER","Persons","3","thousands",,,11798,,
"AUS","Australia","YPMATTL1_ST","Population mid-year estimates Males","A","Annual","1991","1991","PER","Persons","3","thousands",,,8615.409,,
"AUS","Australia","YPMATTL1_ST","Population mid-year estimates Males","A","Annual","1992","1992","PER","Persons","3","thousands",,,8708,,
"AUS","Australia","YPMATTL1_ST","Population mid-year estimates Males","A","Annual","1993","1993","PER","Persons","3","thousands",,,8782,,
"AUS","Australia","YPMATTL1_ST","Population mid-year estimates Males","A","Annual","1994","1994","PER","Persons","3","thousands",,,8864,,
"AUS","Australia","YPMATTL1_ST","Population mid-year estimates Males","A","Annual","1995","1995","PER","Persons","3","thousands",,,8960,,
"AUS","Australia","YPMATTL1_ST","Population mid-year estimates Males","A","Annual","1996","1996","PER","Persons","3","thousands",,,9065,,
"AUS","Australia","YPMATTL1_ST","Population mid-year estimates Males","A","Annual","1997","1997","PER","Persons","3","thousands",,,9156,,
"AUS","Australia","YPMATTL1_ST","Population mid-year estimates Males","A","Annual","1998","1998","PER","Persons","3","thousands",,,9243,,
"AUS","Australia","YPMATTL1_ST","Population mid-year estimates Males","A","Annual","1999","1999","PER","Persons","3","thousands",,,9340,,
"AUS","Australia","YPMATTL1_ST","Population mid-year estimates Males","A","Annual","2000","2000","PER","Persons","3","thousands",,,9443,,
"AUS","Australia","YPMATTL1_ST","Population mid-year estimates Males","A","Annual","2001","2001","PER","Persons","3","thousands",,,9562,,
"AUS","Australia","YPMATTL1_ST","Population mid-year estimates Males","A","Annual","2002","2002","PER","Persons","3","thousands",,,9675,,
"AUS","Australia","YPMATTL1_ST","Population mid-year estimates Males","A","Annual","2003","2003","PER","Persons","3","thousands",,,9788,,
"AUS","Australia","YPMATTL1_ST","Population mid-year estimates Males","A","Annual","2004","2004","PER","Persons","3","thousands",,,9896,,
"AUS","Australia","YPMATTL1_ST","Population mid-year estimates Males","A","Annual","2005","2005","PER","Persons","3","thousands",,,10020,,
"AUS","Australia","YPMATTL1_ST","Population mid-year estimates Males","A","Annual","2006","2006","PER","Persons","3","thousands",,,10159,,
"AUS","Australia","YPMATTL1_ST","Population mid-year estimates Males","A","Annual","2007","2007","PER","Persons","3","thousands",,,10354,,
"AUS","Australia","YPMATTL1_ST","Population mid-year estimates Males","A","Annual","2008","2008","PER","Persons","3","thousands",,,10572,,
"AUS","Australia","YPMATTL1_ST","Population mid-year estimates Males","A","Annual","2009","2009","PER","Persons","3","thousands",,,10801,,
"AUS","Australia","YPMATTL1_ST","Population mid-year estimates Males","A","Annual","2010","2010","PER","Persons","3","thousands",,,10968,,
"AUS","Australia","YPMATTL1_ST","Population mid-year estimates Males","A","Annual","2011","2011","PER","Persons","3","thousands",,,11118,,
"AUS","Australia","YPMATTL1_ST","Population mid-year estimates Males","A","Annual","2012","2012","PER","Persons","3","thousands",,,11313,,
"AUS","Australia","YPMATTL1_ST","Population mid-year estimates Males","A","Annual","2013","2013","PER","Persons","3","thousands",,,11512,,
"AUS","Australia","YPMATTL1_ST","Population mid-year estimates Males","A","Annual","2014","2014","PER","Persons","3","thousands",,,11693,,
"AUS","Australia","YVPO01L1_ST","Population at 1 January","A","Annual","1991","1991","PER","Persons","3","thousands",,,17170,,
"AUS","Australia","YVPO01L1_ST","Population at 1 January","A","Annual","1992","1992","PER","Persons","3","thousands",,,17379,,
"AUS","Australia","YVPO01L1_ST","Population at 1 January","A","Annual","1993","1993","PER","Persons","3","thousands",,,17557,,
"AUS","Australia","YVPO01L1_ST","Population at 1 January","A","Annual","1994","1994","PER","Persons","3","thousands",,,17719,,
"AUS","Australia","YVPO01L1_ST","Population at 1 January","A","Annual","1995","1995","PER","Persons","3","thousands",,,17893,,
"AUS","Australia","YVPO01L1_ST","Population at 1 January","A","Annual","1996","1996","PER","Persons","3","thousands",,,18120,,
"AUS","Australia","YVPO01L1_ST","Population at 1 January","A","Annual","1997","1997","PER","Persons","3","thousands",,,18330,,
"AUS","Australia","YVPO01L1_ST","Population at 1 January","A","Annual","1998","1998","PER","Persons","3","thousands",,,18510,,
"AUS","Australia","YVPO01L1_ST","Population at 1 January","A","Annual","1999","1999","PER","Persons","3","thousands",,,18706,,
"AUS","Australia","YVPO01L1_ST","Population at 1 January","A","Annual","2000","2000","PER","Persons","3","thousands",,,18919,,
"AUS","Australia","YVPO01L1_ST","Population at 1 January","A","Annual","2001","2001","PER","Persons","3","thousands",,,19141,,
"AUS","Australia","YVPO01L1_ST","Population at 1 January","A","Annual","2002","2002","PER","Persons","3","thousands",,,19386,,
"AUS","Australia","YVPO01L1_ST","Population at 1 January","A","Annual","2003","2003","PER","Persons","3","thousands",,,19605,,
"AUS","Australia","YVPO01L1_ST","Population at 1 January","A","Annual","2004","2004","PER","Persons","3","thousands",,,19827,,
"AUS","Australia","YVPO01L1_ST","Population at 1 January","A","Annual","2005","2005","PER","Persons","3","thousands",,,20046,,
"AUS","Australia","YVPO01L1_ST","Population at 1 January","A","Annual","2006","2006","PER","Persons","3","thousands",,,20312,,
"AUS","Australia","YVPO01L1_ST","Population at 1 January","A","Annual","2007","2007","PER","Persons","3","thousands",,,20628,,
"AUS","Australia","YVPO01L1_ST","Population at 1 January","A","Annual","2008","2008","PER","Persons","3","thousands",,,21016,,
"AUS","Australia","YVPO01L1_ST","Population at 1 January","A","Annual","2009","2009","PER","Persons","3","thousands",,,21476,,
"AUS","Australia","YVPO01L1_ST","Population at 1 January","A","Annual","2010","2010","PER","Persons","3","thousands",,,21866,,
"AUS","Australia","YVPO01L1_ST","Population at 1 January","A","Annual","2011","2011","PER","Persons","3","thousands",,,22172,,
"AUS","Australia","YVPO01L1_ST","Population at 1 January","A","Annual","2012","2012","PER","Persons","3","thousands",,,22520,,
"AUS","Australia","YVPO01L1_ST","Population at 1 January","A","Annual","2013","2013","PER","Persons","3","thousands",,,22921,,
"AUS","Australia","YVPO12L1_ST","Population 31st December","A","Annual","1991","1991","PER","Persons","3","thousands",,,17379,,
"AUS","Australia","YVPO12L1_ST","Population 31st December","A","Annual","1992","1992","PER","Persons","3","thousands",,,17557,,
"AUS","Australia","YVPO12L1_ST","Population 31st December","A","Annual","1993","1993","PER","Persons","3","thousands",,,17719,,
"AUS","Australia","YVPO12L1_ST","Population 31st December","A","Annual","1994","1994","PER","Persons","3","thousands",,,17893,,
"AUS","Australia","YVPO12L1_ST","Population 31st December","A","Annual","1995","1995","PER","Persons","3","thousands",,,18120,,
"AUS","Australia","YVPO12L1_ST","Population 31st December","A","Annual","1996","1996","PER","Persons","3","thousands",,,18330,,
"AUS","Australia","YVPO12L1_ST","Population 31st December","A","Annual","1997","1997","PER","Persons","3","thousands",,,18510,,
"AUS","Australia","YVPO12L1_ST","Population 31st December","A","Annual","1998","1998","PER","Persons","3","thousands",,,18706,,
"AUS","Australia","YVPO12L1_ST","Population 31st December","A","Annual","1999","1999","PER","Persons","3","thousands",,,18919,,
"AUS","Australia","YVPO12L1_ST","Population 31st December","A","Annual","2000","2000","PER","Persons","3","thousands",,,19141,,
"AUS","Australia","YVPO12L1_ST","Population 31st December","A","Annual","2001","2001","PER","Persons","3","thousands",,,19386,,
"AUS","Australia","YVPO12L1_ST","Population 31st December","A","Annual","2002","2002","PER","Persons","3","thousands",,,19605,,
"AUS","Australia","YVPO12L1_ST","Population 31st December","A","Annual","2003","2003","PER","Persons","3","thousands",,,19827,,
"AUS","Australia","YVPO12L1_ST","Population 31st December","A","Annual","2004","2004","PER","Persons","3","thousands",,,20046,,
"AUS","Australia","YVPO12L1_ST","Population 31st December","A","Annual","2005","2005","PER","Persons","3","thousands",,,20312,,
"AUS","Australia","YVPO12L1_ST","Population 31st December","A","Annual","2006","2006","PER","Persons","3","thousands",,,20628,,
"AUS","Australia","YVPO12L1_ST","Population 31st December","A","Annual","2007","2007","PER","Persons","3","thousands",,,21016,,
"AUS","Australia","YVPO12L1_ST","Population 31st December","A","Annual","2008","2008","PER","Persons","3","thousands",,,21476,,
"AUS","Australia","YVPO12L1_ST","Population 31st December","A","Annual","2009","2009","PER","Persons","3","thousands",,,21866,,
"AUS","Australia","YVPO12L1_ST","Population 31st December","A","Annual","2010","2010","PER","Persons","3","thousands",,,22172,,
"AUS","Australia","YVPO12L1_ST","Population 31st December","A","Annual","2011","2011","PER","Persons","3","thousands",,,22520,,
"AUS","Australia","YVPO12L1_ST","Population 31st December","A","Annual","2012","2012","PER","Persons","3","thousands",,,22921,,
"AUS","Australia","YVPO12L1_ST","Population 31st December","A","Annual","2013","2013","PER","Persons","3","thousands",,,23311,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","1991","1991","PER","Persons","3","thousands",,,209,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","1992","1992","PER","Persons","3","thousands",,,178,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","1993","1993","PER","Persons","3","thousands",,,162,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","1994","1994","PER","Persons","3","thousands",,,174,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","1995","1995","PER","Persons","3","thousands",,,227,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","1996","1996","PER","Persons","3","thousands",,,210,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","1997","1997","PER","Persons","3","thousands",,,180,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","1998","1998","PER","Persons","3","thousands",,,196,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","1999","1999","PER","Persons","3","thousands",,,213,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","2000","2000","PER","Persons","3","thousands",,,222,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","2001","2001","PER","Persons","3","thousands",,,245,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","2002","2002","PER","Persons","3","thousands",,,219,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","2003","2003","PER","Persons","3","thousands",,,222,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","2004","2004","PER","Persons","3","thousands",,,219,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","2005","2005","PER","Persons","3","thousands",,,266,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","2006","2006","PER","Persons","3","thousands",,,316,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","2007","2007","PER","Persons","3","thousands",,,388,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","2008","2008","PER","Persons","3","thousands",,,460,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","2009","2009","PER","Persons","3","thousands",,,390,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","2010","2010","PER","Persons","3","thousands",,,306,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","2011","2011","PER","Persons","3","thousands",,,348,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","2012","2012","PER","Persons","3","thousands",,,401,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","2013","2013","PER","Persons","3","thousands",,,390,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","1991","1991","PER","Persons","3","thousands",,,259,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","1992","1992","PER","Persons","3","thousands",,,263,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","1993","1993","PER","Persons","3","thousands",,,259,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","1994","1994","PER","Persons","3","thousands",,,259,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","1995","1995","PER","Persons","3","thousands",,,255,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","1996","1996","PER","Persons","3","thousands",,,253,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","1997","1997","PER","Persons","3","thousands",,,252,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","1998","1998","PER","Persons","3","thousands",,,249,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","1999","1999","PER","Persons","3","thousands",,,251,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","2000","2000","PER","Persons","3","thousands",,,251,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","2001","2001","PER","Persons","3","thousands",,,248,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","2002","2002","PER","Persons","3","thousands",,,250,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","2003","2003","PER","Persons","3","thousands",,,251,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","2004","2004","PER","Persons","3","thousands",,,252,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","2005","2005","PER","Persons","3","thousands",,,266,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","2006","2006","PER","Persons","3","thousands",,,274,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","2007","2007","PER","Persons","3","thousands",,,293,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","2008","2008","PER","Persons","3","thousands",,,298,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","2009","2009","PER","Persons","3","thousands",,,301,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","2010","2010","PER","Persons","3","thousands",,,301,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","2011","2011","PER","Persons","3","thousands",,,303,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","2012","2012","PER","Persons","3","thousands",,,312,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","2013","2013","PER","Persons","3","thousands",,,305,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","1991","1991","PER","Persons","3","thousands",,,120,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","1992","1992","PER","Persons","3","thousands",,,123,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","1993","1993","PER","Persons","3","thousands",,,121,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","1994","1994","PER","Persons","3","thousands",,,127,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","1995","1995","PER","Persons","3","thousands",,,125,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","1996","1996","PER","Persons","3","thousands",,,128,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","1997","1997","PER","Persons","3","thousands",,,129,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","1998","1998","PER","Persons","3","thousands",,,127,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","1999","1999","PER","Persons","3","thousands",,,128,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","2000","2000","PER","Persons","3","thousands",,,129,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","2001","2001","PER","Persons","3","thousands",,,129,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","2002","2002","PER","Persons","3","thousands",,,133,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","2003","2003","PER","Persons","3","thousands",,,132,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","2004","2004","PER","Persons","3","thousands",,,132,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","2005","2005","PER","Persons","3","thousands",,,131,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","2006","2006","PER","Persons","3","thousands",,,134,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","2007","2007","PER","Persons","3","thousands",,,140,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","2008","2008","PER","Persons","3","thousands",,,142,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","2009","2009","PER","Persons","3","thousands",,,142,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","2010","2010","PER","Persons","3","thousands",,,143,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","2011","2011","PER","Persons","3","thousands",,,147,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","2012","2012","PER","Persons","3","thousands",,,149,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","2013","2013","PER","Persons","3","thousands",,,147,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","1991","1991","PER","Persons","3","thousands",,,139,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","1992","1992","PER","Persons","3","thousands",,,140,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","1993","1993","PER","Persons","3","thousands",,,138,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","1994","1994","PER","Persons","3","thousands",,,132,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","1995","1995","PER","Persons","3","thousands",,,130,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","1996","1996","PER","Persons","3","thousands",,,125,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","1997","1997","PER","Persons","3","thousands",,,123,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","1998","1998","PER","Persons","3","thousands",,,122,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","1999","1999","PER","Persons","3","thousands",,,123,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","2000","2000","PER","Persons","3","thousands",,,122,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","2001","2001","PER","Persons","3","thousands",,,119,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","2002","2002","PER","Persons","3","thousands",,,117,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","2003","2003","PER","Persons","3","thousands",,,119,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","2004","2004","PER","Persons","3","thousands",,,120,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","2005","2005","PER","Persons","3","thousands",,,135,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","2006","2006","PER","Persons","3","thousands",,,140,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","2007","2007","PER","Persons","3","thousands",,,153,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","2008","2008","PER","Persons","3","thousands",,,156,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","2009","2009","PER","Persons","3","thousands",,,159,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","2010","2010","PER","Persons","3","thousands",,,158,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","2011","2011","PER","Persons","3","thousands",,,156,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","2012","2012","PER","Persons","3","thousands",,,163,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","2013","2013","PER","Persons","3","thousands",,,158,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","1991","1991",,,"0","units",,,82,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","1992","1992",,,"0","units",,,51,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","1993","1993",,,"0","units",,,35,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","1994","1994",,,"0","units",,,56,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","1995","1995",,,"0","units",,,107,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","1996","1996",,,"0","units",,,97,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","1997","1997",,,"0","units",,,72,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","1998","1998",,,"0","units",,,89,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","1999","1999",,,"0","units",,,104,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","2000","2000",,,"0","units",,,111,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","2001","2001",,,"0","units",,,136,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","2002","2002",,,"0","units",,,110,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","2003","2003",,,"0","units",,,110,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","2004","2004",,,"0","units",,,106,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","2005","2005",,,"0","units",,,137,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","2006","2006",,,"0","units",,,182,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","2007","2007",,,"0","units",,,244,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","2008","2008",,,"0","units",,,316,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","2009","2009",,,"0","units",,,247,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","2010","2010",,,"0","units",,,172,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","2011","2011",,,"0","units",,,206,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","2012","2012",,,"0","units",,,237,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","2013","2013",,,"0","units",,,232,,
"AUS","Australia","YVPOSAL1_ST","Statistical adjustments","A","Annual","1991","1991","PER","Persons","3","thousands",,,-12,,
